"long","lat","order","hole","piece","group","geo_dma"
-75.14386517,41.85208078,264,FALSE,"1","501.1",501
-74.45039201,42.17006614,265,FALSE,"1","501.1",501
-74.07476071,42.09553832,266,FALSE,"1","501.1",501
-73.99963445,42.17751892,267,FALSE,"1","501.1",501
-73.93028714,42.0781485,268,FALSE,"1","501.1",501
-73.52576113,41.97877807,269,FALSE,"1","501.1",501
-73.48530853,42.05082163,270,FALSE,"1","501.1",501
-73.51998218,41.66576123,271,FALSE,"1","501.1",501
-73.43907698,41.49186299,272,FALSE,"1","501.1",501
-73.30038235,41.47198891,273,FALSE,"1","501.1",501
-73.06922463,41.30057492,274,FALSE,"1","501.1",501
-73.10389829,41.15400355,275,FALSE,"1","501.1",501
-73.19058243,41.18629893,276,FALSE,"1","501.1",501
-73.5893295,41.04221182,277,FALSE,"1","501.1",501
-73.76847673,40.91551453,278,FALSE,"1","501.1",501
-73.80892933,40.87079783,279,FALSE,"1","501.1",501
-73.78581356,40.8732821,280,FALSE,"1","501.1",501
-73.80315039,40.84843949,281,FALSE,"1","501.1",501
-73.82048722,40.86831357,282,FALSE,"1","501.1",501
-73.82048722,40.8857034,283,FALSE,"1","501.1",501
-73.82626616,40.88818766,284,FALSE,"1","501.1",501
-73.81470828,40.82359688,285,FALSE,"1","501.1",501
-73.79159251,40.80620706,286,FALSE,"1","501.1",501
-73.93028714,40.8037228,287,FALSE,"1","501.1",501
-73.90717137,40.87079783,288,FALSE,"1","501.1",501
-73.92450819,40.87825062,289,FALSE,"1","501.1",501
-73.97651868,40.71180515,290,FALSE,"1","501.1",501
-74.06898177,40.68447829,291,FALSE,"1","501.1",501
-74.14410803,40.64721438,292,FALSE,"1","501.1",501
-74.08053965,40.74161628,293,FALSE,"1","501.1",501
-74.15566591,40.69938385,294,FALSE,"1","501.1",501
-74.2885816,40.49567448,295,FALSE,"1","501.1",501
-73.98229762,40.40375684,296,FALSE,"1","501.1",501
-74.07476071,40.35655588,297,FALSE,"1","501.1",501
-73.97651868,40.37642997,298,FALSE,"1","501.1",501
-73.99385551,40.46834761,299,FALSE,"1","501.1",501
-73.98229762,40.44350501,300,FALSE,"1","501.1",501
-73.98229762,40.4310837,301,FALSE,"1","501.1",501
-73.97651868,40.40127258,302,FALSE,"1","501.1",501
-73.97073974,40.3491031,303,FALSE,"1","501.1",501
-73.98229762,40.26463824,304,FALSE,"1","501.1",501
-74.09787648,39.76530186,305,FALSE,"1","501.1",501
-74.08053965,39.93671584,306,FALSE,"1","501.1",501
-74.19611851,39.94913714,307,FALSE,"1","501.1",501
-74.10365543,39.9267788,308,FALSE,"1","501.1",501
-74.19033957,39.76530186,309,FALSE,"1","501.1",501
-74.19611851,39.73797499,310,FALSE,"1","501.1",501
-74.18456063,39.72306943,311,FALSE,"1","501.1",501
-73.41018227,40.65466716,312,FALSE,"2","501.2",501
-73.69335047,40.63727734,313,FALSE,"2","501.2",501
-73.68757153,40.59256064,314,FALSE,"2","501.2",501
-73.72802413,40.60746621,315,FALSE,"2","501.2",501
-73.94184502,40.54287543,316,FALSE,"2","501.2",501
-73.76847673,40.59752917,317,FALSE,"2","501.2",501
-73.74536096,40.6397616,318,FALSE,"2","501.2",501
-73.83782405,40.66211994,319,FALSE,"2","501.2",501
-73.91872925,40.63230881,320,FALSE,"2","501.2",501
-73.88405559,40.57765508,321,FALSE,"2","501.2",501
-73.99385551,40.5702023,322,FALSE,"2","501.2",501
-74.04008705,40.62485603,323,FALSE,"2","501.2",501
-73.90717137,40.79130149,324,FALSE,"2","501.2",501
-73.85516088,40.75900611,325,FALSE,"2","501.2",501
-73.78003462,40.79627002,326,FALSE,"2","501.2",501
-73.75691885,40.76645889,327,FALSE,"2","501.2",501
-73.7511399,40.83850245,328,FALSE,"2","501.2",501
-73.7106873,40.79627002,329,FALSE,"2","501.2",501
-73.72802413,40.86582931,330,FALSE,"2","501.2",501
-73.64711893,40.80123854,331,FALSE,"2","501.2",501
-73.63556104,40.90309322,332,FALSE,"2","501.2",501
-73.46219275,40.85837653,333,FALSE,"2","501.2",501
-73.49686641,40.92793583,334,FALSE,"2","501.2",501
-73.48530853,40.94780991,335,FALSE,"2","501.2",501
-73.42174015,40.88321914,336,FALSE,"2","501.2",501
-73.43329804,40.90557748,337,FALSE,"2","501.2",501
-73.37550861,40.91303027,338,FALSE,"2","501.2",501
-73.36395072,40.89067192,339,FALSE,"2","501.2",501
-73.35239284,40.89315618,340,FALSE,"2","501.2",501
-73.39862438,40.9552627,341,FALSE,"2","501.2",501
-73.1732456,40.89315618,342,FALSE,"2","501.2",501
-73.12123512,40.97762104,343,FALSE,"2","501.2",501
-72.64158285,40.9801053,344,FALSE,"2","501.2",501
-72.3526357,41.14158224,345,FALSE,"2","501.2",501
-72.2312779,41.16145633,346,FALSE,"2","501.2",501
-72.40464619,41.07450721,347,FALSE,"2","501.2",501
-72.42776196,40.97762104,348,FALSE,"2","501.2",501
-72.46243562,41.00743217,349,FALSE,"2","501.2",501
-72.64158285,40.91551453,350,FALSE,"2","501.2",501
-72.49133033,40.89564044,351,FALSE,"2","501.2",501
-72.3121831,41.04221182,352,FALSE,"2","501.2",501
-72.25439367,40.99501087,353,FALSE,"2","501.2",501
-72.16193058,41.05463312,354,FALSE,"2","501.2",501
-72.09258326,40.99252661,355,FALSE,"2","501.2",501
-71.8556466,41.07202295,356,FALSE,"2","501.2",501
-72.4739935,40.83850245,357,FALSE,"2","501.2",501
-72.41620407,40.86334505,358,FALSE,"2","501.2",501
-72.41042513,40.8732821,359,FALSE,"2","501.2",501
-73.41018227,40.65466716,360,FALSE,"2","501.2",501
-74.248129,40.49567448,361,FALSE,"3","501.3",501
-74.248129,40.54287543,362,FALSE,"3","501.3",501
-74.21345534,40.557781,363,FALSE,"3","501.3",501
-74.18456063,40.64473012,364,FALSE,"3","501.3",501
-74.06898177,40.64224586,365,FALSE,"3","501.3",501
-74.11521331,40.54784395,366,FALSE,"3","501.3",501
-74.248129,40.49567448,367,FALSE,"3","501.3",501
-74.0863186,39.94168436,368,TRUE,"4","501.4",501
-74.045866,40.06589739,369,TRUE,"4","501.4",501
-74.13255014,40.06589739,370,TRUE,"4","501.4",501
-74.05742388,40.05099183,371,TRUE,"4","501.4",501
-74.14988697,40.00627514,372,TRUE,"4","501.4",501
-74.0863186,39.94168436,373,TRUE,"4","501.4",501
-73.57777161,40.57517082,374,FALSE,"5","501.5",501
-73.50264536,40.61243473,375,FALSE,"5","501.5",501
-73.30616129,40.64969864,376,FALSE,"5","501.5",501
-73.31771918,40.64721438,377,FALSE,"5","501.5",501
-73.30038235,40.6397616,378,FALSE,"5","501.5",501
-73.24837186,40.6397616,379,FALSE,"5","501.5",501
-73.57777161,40.57517082,380,FALSE,"5","501.5",501
-73.26570869,40.61740325,381,FALSE,"6","501.6",501
-73.31194024,40.61988751,382,FALSE,"6","501.6",501
-73.31194024,40.62485603,383,FALSE,"6","501.6",501
-73.10389829,40.65715142,384,FALSE,"6","501.6",501
-72.75716171,40.76894315,385,FALSE,"6","501.6",501
-73.01721414,40.67702551,386,FALSE,"6","501.6",501
-73.26570869,40.61740325,387,FALSE,"6","501.6",501
-72.35169494,41.04735366,388,FALSE,"7","501.7",501
